Gene	S00022	S00050	S00472	S00501	S00827	S00830	S00836	S00837	S01453	S01494	S01556	S01563	S01698	S01728	S01792
ERCC4	1.86007	5.1736	2.33649	3.15193	2.03677	3.49153	3.10551	5.11479	3.67111	2.30762	3.38467	3.58952	1.95744	4.25601	5.14609
ERCC5	10.5992	7.6034	5.94991	10.5425	13.9625	8.37873	6.38869	11.1099	10.1199	12.0441	13.8679	12.0955	11.6856	19.0505	7.29526
ERCC6	5.11133	3.28221	4.25587	3.99212	3.31317	3.65875	3.3399	2.55585	3.7549	1.64999	3.35432	4.39067	3.73892	3.95821	2.83038
ERCC6L	2.56916	4.78318	1.64378	1.44084	4.57493	1.64515	2.35674	2.53099	4.34701	9.24356	0.059505	1.55936	2.47578	2.34553	5.8217
ERCC8	6.10177	7.64856	5.96101	3.75366	4.60654	1.93443	6.25442	5.46077	4.78286	2.77014	3.58994	5.308	3.42123	6.62339	3.86412
EREG	0	0	0	0	0	0	0.175307	0.112811	0	0	0	0	0.141022	0	0.109684
ERF	11.1105	3.30538	24.4361	11.0902	9.56193	10.2414	7.56124	29.2135	6.04855	13.7683	12.6973	10.8438	10.3143	13.6579	11.3756
ERG	0.740213	0.518182	0.039016	0.939205	0.346212	1.27386	0.56725	0.492161	0.374993	0.191957	0.254368	1.27408	1.72818	0.450254	2.24251
ERGIC2	15.4718	19.0761	28.0115	17.1325	14.5914	13.2979	14.7434	21.2125	16.3006	16.2387	15.5802	14.8031	10.9781	11.4096	12.6477
ERGIC3	97.7152	100.325	130.866	115.342	55.8986	101.297	122.334	150.255	82.0745	115.626	123.627	110.717	142.912	177.838	147.526
ERH	269.947	193.429	199.681	122.394	293.5	201.191	303.077	192.568	170.359	227.404	258.154	226.65	177.052	202.327	195.142
ERI1	3.38267	10.9058	3.67476	5.1425	6.37965	3.79613	11.3092	7.15831	3.05127	12.044	5.60321	6.84229	5.8556	6.62273	10.7859
ERI2	0	2.77537	4.80E-05	2.15589	2.09917	3.39919	4.00E-06	4.53591	3.00E-05	0	0.038625	0	1.70698	1.94159	1.73396
ERI3	88.9244	38.3457	71.0348	51.1966	58.7983	36.7007	63.6668	24.946	56.9307	52.3056	84.6568	58.5214	51.9924	50.6601	68.4807
ERICH1	4.9436	4.03893	5.27549	4.70196	5.14318	3.61998	7.50693	5.35704	2.56593	3.47796	6.60598	6.59221	7.101	11.1306	11.7973
ERLIN2	4.57938	11.4215	9.11746	7.30046	4.78453	10.0626	16.0755	15.5732	3.8037	6.36859	8.50222	11.8312	7.76363	15.447	14.6424
ERMAP	7.90273	4.07558	3.16485	2.10318	1.51676	4.15297	5.80096	2.16861	7.17806	4.9324	5.40905	6.69606	5.42817	3.27972	9.027
ERMN	0	0	0	0.02868	0.002895	0	0.001865	0.136706	0	0.038877	0.02298	0.02925	0	0	0
ERMP1	7.00571	16.8769	12.8279	22.3067	6.21991	6.58222	11.4061	12.7236	12.0822	4.51082	10.5344	10.4043	13.6926	33.7865	20.3221
ERN2	0.147072	0	0.311324	0.504461	0	0	1.08156	0.231911	0.157377	0	0	0.855552	0.219382	2.22041	0.432964
ERP27	0	0.277107	0.525731	1.50897	0.250639	0.853357	0.583481	1.99574	0	0.262732	0	1.69639	2.04346	3.93557	0.489619
ERP29	73.5823	65.4943	98.2829	122.869	74.8977	62.5984	116.088	55.3011	56.9186	94.2453	61.063	59.183	41.4157	97.6915	78.0443
ERP44	15.5748	14.7714	10.0747	25.6149	22.4288	16.5464	17.3614	12.4356	13.4009	14.7344	8.7132	10.9062	11.6304	16.5406	11.9244
ERRFI1	31.1331	13.7549	12.7197	25.0138	16.7658	14.7648	16.8792	10.4305	35.9157	7.46895	8.03208	13.8625	30.1356	38.1169	92.4969
ESAM	11.258	11.3266	15.1759	7.77098	17.1668	16.6393	11.232	12.2434	11.6464	11.0502	9.46264	22.6995	16.2073	12.9822	39.124
ESCO1	6.01791	5.5099	7.82578	5.8372	8.97346	5.54262	9.72031	4.84991	8.53379	4.70596	9.60471	4.30524	6.92874	9.72744	12.112
ESCO2	6.47614	19.0791	5.23809	3.32514	9.34924	2.08394	11.5682	11.2668	5.35108	4.79838	10.7354	8.59237	6.46572	6.36352	15.7312
ESD	62.2306	33.3735	25.8589	37.7826	54.9863	24.9057	28.2804	56.7214	28.788	74.2041	40.3486	24.1542	33.803	33.6253	37.2746
ESM1	15.4222	10.2825	13.699	13.883	6.60134	27.8705	10.2963	2.94903	17.9274	7.15694	3.64232	4.11004	10.0058	10.8824	39.9654
ESPL1	19.0517	9.69112	13.8832	10.1649	15.457	4.88887	19.5066	15.4722	13.7888	14.9521	8.89322	15.6747	20.9907	14.6054	7.27242
ESPN	23.1396	9.41618	5.53298	2.87942	3.01686	2.71606	5.83087	20.5672	8.1679	3.97275	54.7935	14.4125	4.93859	10.2816	17.2598
ESPNL	1.32727	1.48968	0	0.849891	0.589826	3.05964	0.016706	0	0.372238	2.8758	0.052005	1.90955	3.09394	0.028853	0
ESR1	0.017871	0.011214	0	0.488291	0.241053	0.005887	0.002114	0.321903	0.10601	0.079867	0.026645	0.651683	0.111479	0.022888	0.171536
ESR2	0.070142	0.048523	0	0	0.064832	0.014243	0	1.11315	0.087663	0.067631	0	0	0	0.003594	0.115998
ESRRA	0.057891	11.1105	24.4773	9.62848	13.6504	7.69186	8.89842	7.6209	9.32899	15.9101	18.3539	9.5859	13.1449	18.8512	9.12496
ESRRB	0.181346	0	0	0	0	0.076564	0.112864	0	0	0	0	0	0	0.384885	0
ESRRG	2.86162	1.21288	2.17572	2.0973	2.32334	0.255083	3.74292	0.899602	0.046568	19.2344	0.784119	0.907399	4.17959	0.531384	1.02003
ESX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETAA1	7.74756	6.63081	2.86204	7.32235	7.57999	5.43482	6.37146	5.49601	12.8682	7.0034	6.0014	7.95514	4.86384	8.23188	7.33114
ETF1	32.0008	30.3531	26.4556	29.1022	22.9283	16.0043	28.9096	29.4128	26.1557	21.1777	19.4261	18.4356	21.7108	19.6569	21.9868
ETFA	55.5181	45.4993	28.4416	32.9627	77.2883	47.9416	36.1468	79.5396	44.811	83.3211	77.2842	55.0319	37.3171	33.9358	45.1495
ETFB	75.0443	24.0162	6.70427	85.1437	35.6295	35.1113	19.9283	67.8245	30.5096	75.2205	3.74576	37.3206	22.7132	76.1886	18.6374
ETFDH	0.902038	7.56147	3.69824	4.98596	1.72841	2.49457	2.49619	3.14613	4.63347	3.27073	4.92605	4.92288	1.59468	5.94607	3.67711
ETHE1	6.19419	7.25412	18.5614	29.6093	10.5001	16.6575	10.505	16.9639	17.9563	17.0378	7.81018	16.681	21.2268	12.9249	13.7263
ETNK1	23.1509	18.5677	8.19917	10.7799	25.4907	16.0534	17.5605	18.0578	20.5748	16.5113	14.6327	12.6658	11.3991	10.7831	12.7135
ETNK2	0.023656	4.40278	0.024218	1.43068	0.430819	0.668469	1.94796	0.221303	0.337206	5.88438	0.47686	1.02598	0.641098	1.13625	0.718415
ETS1	32.2691	10.2815	47.5982	35.8566	55.3706	26.0689	32.0539	19.1221	12.0443	9.09458	14.8488	17.5843	34.3174	17.2527	26.8301
ETS2	111.916	39.4777	156.198	155.309	32.9168	38.1819	98.1608	15.4422	116.784	9.32658	5.4211	66.4769	120.952	68.1508	74.9494
ETV3	0.07972	0.001668	0.00124	0.11252	0.075433	0.127594	0.081632	0.115315	0.086032	0.07354	0.000807	0.000953	0.137298	0.000793	0.088506
ETV4	0.182024	0.710484	0.94086	1.11494	0.534249	1.54679	1.16078	3.46752	0.539755	0.220595	0.453367	2.48189	1.45374	1.24595	2.1772
ETV5	5.38004	27.7275	2.32118	13.3278	3.60492	16.1131	3.36904	11.2074	3.58767	1.67145	2.45976	12.5757	11.1556	3.84347	20.67
ETV6	9.36474	14.2578	8.91069	22.0685	10.2276	8.15901	8.9163	9.53144	11.2756	3.8292	3.87023	6.6666	8.16201	7.14856	10.7102
ETV7	0.002021	1.29201	0.089934	0.374143	0.031819	1.75941	0.834746	0.033474	0.205717	0.002633	1.56105	0.026413	0.301029	0.35058	0.001891
EVC	0.246284	0.460803	0.554988	1.11166	1.3662	2.58131	0.816817	5.49116	1.35783	5.71629	1.35855	1.57974	1.46306	4.59914	1.48831
EVC2	0.612423	0.111614	0.00493	0.786335	0.000835	1.71291	0.718372	1.19697	0.779838	0.728066	0.866719	2.52502	0.670397	2.79889	0.640472
EVI2A	0	0	0	0	0	5.49439	0	1.26454	0	0	0	0	0	0	0
EVI2B	0	0	0	6.64304	0	21.6957	0	29.8495	0	0	0.06527	8.61217	6.34363	0	0
EVI5	2.88819	2.85695	3.05527	2.81866	2.30871	2.15637	4.07416	2.16196	2.5304	2.06476	2.3801	2.7598	3.17216	3.40518	2.80669
EVI5L	8.9572	18.247	8.30968	7.64893	13.859	9.21574	5.08629	3.96231	8.98888	13.5105	4.78634	8.24131	12.9073	10.8802	8.50591
EVPL	1.63904	0.521902	2.3045	0.443585	2.58268	1.72705	1.78079	3.12143	0.848989	3.92398	2.00935	2.54144	1.15576	6.19541	1.47912
EVX1	0	0	0	0	0.549718	0	0	0	0	0.385835	0	0.302633	0.221896	0	0
EVX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EWSR1	0.960021	5.37789	1.63558	0.10916	0.019417	6.86866	5.09639	0.796714	0	4.29828	0	2.87604	4.82937	0	0
EXD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXO1	6.15021	11.706	2.55963	2.98753	6.46415	4.90045	5.73381	4.16393	4.00554	1.86573	8.34486	8.56093	6.31384	3.80076	2.55814
EXOC1	0.689029	0.23699	6.48029	0.688268	2.66656	2.19222	1.20753	5.65745	3.52347	0.04242	0.519562	3.09363	3.19711	1.04476	3.36107
EXOC2	10.7837	10.2211	10.5877	8.62323	21.7699	9.97836	16.9436	13.7524	11.5019	11.3543	9.1426	13.9644	14.4121	12.566	11.5566
EXOC3L2	1.43022	1.70639	3.25609	0.983138	1.90532	3.71482	1.46492	1.36248	2.04196	1.91977	2.51649	2.34917	1.93978	1.01138	7.86107
EXOC4	23.7812	25.6404	23.0355	25.6329	69.1077	26.4456	30.0402	20.0135	37.8979	36.3286	15.4906	32.2032	24.1138	32.3833	25.5141
EXOC6	9.18944	9.17943	8.2342	8.90645	12.2089	9.5737	7.95707	11.7614	6.85942	7.69008	0.94401	5.42529	11.5284	12.3914	9.76537
EXOC7	13.0682	28.6442	24.9034	26.0356	11.5378	19.441	12.9095	16.7538	23.5958	20.5857	18.3898	25.9156	24.4649	30.3082	21.7088
EXOC8	0.110771	0.118126	0.969765	0.684113	0.286093	0.400481	0.193139	1.03732	1.88563	1.21795	0.142349	3.17831	1.66823	1.22152	0.29843
EXOG	3.2909	3.1169	3.52689	2.56393	3.07401	3.1399	2.59815	2.44788	4.1464	3.40058	1.92601	3.57412	2.93325	3.76357	4.82535
EXOSC1	17.1602	7.90285	2.15351	5.94496	15.6907	10.2526	13.6736	10.6839	8.25198	7.545	7.04702	6.97786	9.6661	6.71533	4.17925
EXOSC10	50.8256	42.9408	42.8969	18.6934	25.6362	19.3883	36.0944	29.5117	25.7408	29.8497	25.483	32.2245	31.993	31.3152	38.0796
EXOSC2	5.53254	16.2053	9.72691	15.8154	13.1022	10.037	5.15559	15.4673	5.61414	25.3485	13.2151	9.82126	3.39317	14.8914	14.9661
EXOSC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXOSC4	26.2626	15.0804	44.5537	31.2443	14.8084	17.8983	10.0053	17.5949	14.7769	94.9137	33.567	24.8293	24.4498	25.9746	21.6527
EXOSC5	21.8286	12.3903	46.9525	41.7341	31.5652	17.0133	13.6125	34.3223	21.8746	34.2701	75.4011	28.7876	22.0465	21.497	28.8538
EXOSC6	10.8373	8.65189	12.2636	4.6171	8.2467	12.4909	12.5491	9.1153	12.6624	5.56533	12.4375	13.9771	9.12777	13.5409	8.59243
EXOSC7	10.5335	12.3491	11.2959	22.167	13.7403	21.5628	13.7794	22.8413	13.1188	19.1345	15.3128	16.2811	16.5766	17.4714	13.2087
EXOSC8	13.4441	26.455	4.72823	13.5284	16.6351	3.47184	5.41752	13.1839	4.04626	18.3158	14.7768	4.285	6.34846	7.56483	7.58708
EXOSC9	17.955	35.5479	26.7504	21.2768	20.3968	16.5546	27.8282	16.4482	20.9385	14.344	28.7425	24.5258	10.5775	28.134	14.852
EXPH5	1.66101	1.1834	3.47233	5.20653	2.76227	2.09134	2.6076	5.80057	1.68159	0.059168	0	2.17246	1.6795	4.28192	1.39535
EXT1	8.08624	7.1232	6.13058	12.5793	3.96754	9.66051	5.30376	5.79075	4.45018	19.4279	2.90301	5.55241	4.85125	9.95771	9.58511
EXT2	21.1929	25.5449	28.712	28.5943	18.5463	20.146	23.0212	25.2337	35.7004	39.4826	18.3289	25.6882	24.5422	28.1981	29.7785
EXTL1	0	0.081096	0	0.170154	0.062437	0.579027	0.099864	0.12413	0.156723	0.934759	0	0.193358	0.151856	0	0
EXTL2	7.32006	6.74176	5.70246	4.88987	4.19644	5.7813	12.0147	3.23988	12.1475	6.23721	16.2105	11.5864	6.2924	8.14311	11.0516
EXTL3	25.5482	36.4725	120.757	45.8039	40.8679	11.827	94.6892	10.8754	52.7867	23.7506	10.7618	49.4831	41.8717	26.8016	34.177
EYA1	10.3766	1.98986	8.72698	0.270032	1.79429	0.442702	2.7042	3.91699	2.00291	17.2481	1.79992	2.86118	8.09385	0.647315	1.65351
EYA2	6.10974	5.03854	17.2603	54.8302	43.7403	45.7642	11.4045	5.83468	11.8295	64.104	4.77407	57.7322	68.1106	1.58764	5.35518
EYA3	21.8617	8.98945	9.6621	7.27261	8.37498	6.75931	11.0729	8.13673	12.2873	9.91179	8.29561	12.9897	11.0826	11.5031	10.7689
EYA4	2.28285	20.2791	0	2.06682	0.338525	0.279369	1.25986	7.30218	1.92154	0	0	0.694258	0	0.175432	3.24727
EYS	0	0.470547	0	0	0	0.834899	0.783944	0	0	2.85231	0.406611	0	0	0	0
EZH1	12.8736	9.93431	9.35777	8.94583	9.01518	10.2259	8.58603	13.1149	10.5511	6.56628	16.5675	11.5035	10.5452	10.0216	16.0138
EZH2	30.5792	24.8769	19.5322	9.28	51.4436	15.1043	21.146	15.7397	20.6486	23.5905	19.2455	24.886	17.3446	19.484	32.6456
F10	0.138459	0.243108	0.060636	0.42784	1.03294	0.922503	0.301446	0.372525	0.746919	0.846005	0.029331	0.951678	1.08798	0.378257	0.065788
F11	0	0	0	0	0	0	0	0.144851	0	0	0	0.185417	0	0	0
F11R	84.261	60.502	75.1769	74.6247	55.0006	41.4154	95.8495	82.8364	110.79	6.89395	50.8418	114.286	72.6057	77.5988	60.432
F12	1.70936	14.9322	7.67059	3.73829	1.15161	2.31775	2.65135	1.23793	1.96676	3.53624	6.10768	0.175797	1.16338	1.26665	2.23433
F13A1	2.60921	4.82709	8.38843	4.7956	11.898	56.2391	11.2917	23.8692	7.83039	1.43431	0.392314	30.0177	18.9237	3.49285	15.0474
F13B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F2R	7.90469	9.58851	17.67	26.7216	21.4157	32.4186	16.3773	18.1511	17.6968	16.3567	14.8973	35.025	26.7169	17.0854	82.3834
F2RL1	1.68684	2.01502	3.82643	4.16597	2.54053	3.67264	2.24254	2.67974	1.05245	3.14295	2.08918	3.34994	2.89909	4.61056	1.02311
F2RL2	0.649112	0	0.599776	0.187783	0	0.107717	0.398447	0.901125	0.867209	0	0	0	0	1.07376	26.0461
F2RL3	1.4773	0.764622	1.26064	1.55489	0.870684	1.5545	1.03436	1.36559	0.892984	0.530331	1.21385	1.67542	1.95265	0.997065	3.34653
F3	3.82299	1.6081	3.37198	9.00803	1.55535	5.03166	17.5109	8.64278	2.51615	0.535416	0.844762	5.47234	5.48179	11.6164	29.6984
F5	0	0.051438	0.13698	1.13259	0.109252	0.841928	0.25445	0.382902	0.062426	2.30148	0.038899	0.512238	0.540716	0.063502	0.022527
F7	0.121425	0.41732	0	0.06274	0.339445	0	0	0	0	2.25639	0	0	0.043482	0	0.064103
F8	0.258199	1.6061	0.470619	4.28281	2.25642	0.47848	1.56776	1.33381	0.854878	4.71813	3.32151	2.69634	0.94047	1.07192	1.83014
F9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FA2H	5.48345	7.97449	5.52147	3.28564	2.7286	2.21925	3.74561	5.41476	10.2477	0.361621	9.39594	5.29219	4.2655	22.5226	7.39726
FAAH	33.2603	16.4562	19.1425	9.58334	17.126	6.32675	15.8963	16.1418	9.88936	20.225	19.485	18.3182	10.0214	18.8093	8.47351
FAAH2	11.2926	5.31498	13.4056	23.19	9.47769	3.75891	9.11473	6.89382	12.0886	3.55478	3.81588	4.28468	10.9226	10.6099	6.37133
FABP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP3	4.19114	2.41342	2.79567	3.40063	3.02881	5.97637	3.49523	7.19773	3.76734	3.88585	3.56579	9.13303	2.99364	2.17876	1.53079
FABP4	2.7721	0	0	0.945026	0.978523	4.41441	0.918626	7.44578	1.00518	2.07687	2.94686	15.7171	1.59805	0	0
FABP5	42.2106	25.4796	52.241	82.7417	30.4066	21.3712	28.5618	14.4391	63.9995	68.6718	24.7966	16.3889	54.4008	37.3212	98.2565
FABP6	0.107491	3.47639	1.52666	0.991678	2.16616	5.89127	1.33461	3.48771	3.82097	0.679471	0.262632	0.489694	1.19629	2.92547	0
FABP7	6.37038	106.735	0	0.475242	0	2.35136	0	0	0	1259.27	0	0.631455	0	13.8537	0
FABP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FADD	11.3801	11.5654	14.2389	13.249	10.3683	10.2213	8.58797	12.1053	12.0539	22.3489	12.1212	18.0684	14.4462	16.6789	14.3773
FADS1	62.6081	81.8955	72.327	52.8193	98.9535	28.1554	37.1486	12.6126	57.3804	83.3795	31.3884	34.1951	30.4797	42.049	25.5315
FADS2	56.8146	62.7912	56.6471	43.9439	17.84	23.9832	28.1494	33.577	44.3492	55.0714	25.1479	26.6469	10.6996	32.0164	21.1618
FADS3	12.447	10.89	6.53914	5.11088	19.091	7.7925	11.592	8.61915	9.94257	5.03215	8.3032	7.26908	6.52165	7.49141	5.31567
FAF1	102.894	74.8811	38.4287	19.1804	58.7133	23.7046	48.4697	32.1354	56.2165	44.4358	50.8502	37.3183	49.5797	50.6311	49.556
FAF2	22.9685	23.6845	24.7198	21.4929	16.3693	10.5501	24.7241	16.0819	16.0856	14.8127	13.3246	12.8994	16.8273	17.7946	20.3926
FAH	0.435971	1.0687	1.20799	3.21865	0.63893	2.26704	2.41915	6.41533	1.58145	6.56674	0.970432	3.44854	1.687	2.43378	0.467794
FAHD1	7.75227	10.7218	10.7784	11.3426	6.63499	9.48178	18.6748	10.0832	9.64634	11.0259	10.9617	13.3361	9.17638	13.942	12.6441
FAHD2A	4.95305	8.56016	4.49064	4.25938	7.35898	3.1217	9.5895	5.48139	10.4301	14.1576	6.88895	6.68716	6.06426	10.5298	4.15325
FAHD2B	4.83251	1.62761	1.00087	3.20659	5.57096	1.92362	5.2583	4.57787	5.86782	3.57618	5.69045	4.06193	2.69511	6.29212	4.05988
FAIM	4.93363	6.96207	4.28211	1.92128	4.57864	4.2404	3.39159	5.6784	8.17854	16.7187	12.021	10.6742	11.8349	11.358	6.97045
FAIM2	34.6524	6.11165	0.942632	8.34737	8.26283	5.36169	5.98371	18.0331	1.18185	19.0744	0.133014	5.97453	3.64194	1.08237	0.231709
FAM102A	2.45896	1.90939	14.4145	3.01811	3.78263	1.09286	4.1122	1.54324	4.57845	1.54709	8.55994	5.32333	3.21579	4.14706	6.63799
FAM104B	4.67171	4.81717	3.83564	3.10798	3.40715	3.50379	2.60561	1.68592	3.63871	8.76602	3.4144	1.84948	6.1343	5.39264	1.07644
FAM107A	0.959552	0.624908	0.410006	2.42385	0.853109	0.947542	0.678731	2.19438	0.715604	0	0.530046	4.07524	1.79129	3.40033	8.43367
FAM107B	0.331987	0.000493	0.155186	0.042394	0.000267	0.000105	0.000432	0.000863	0.00058	0.000269	0.000376	0.167844	0.001053	0.00301	0.00085
FAM110B	1.91864	17.2641	2.66065	0.280229	15.6537	5.36937	10.3798	0.567801	28.2688	0.276415	1.66098	5.89376	2.40801	0.603033	17.5419
FAM110C	0.743113	3.03342	0.826295	1.72108	1.55026	0.326829	1.74775	1.16058	4.62986	0	0	1.36534	1.09575	1.96461	0.827426
FAM111A	30.1438	51.7986	22.4739	22.0541	33.9359	16.5417	28.2611	52.2674	37.9381	1.99331	14.5172	28.5872	25.5612	32.6964	45.3932
FAM111B	32.4658	47.9811	43.6978	21.5579	52.3475	18.46	29.2072	24.9196	47.6529	19.8305	28.204	58.0768	39.2557	48.6612	62.3993
FAM114A1	5.82044	7.93163	17.9485	19.4117	6.08586	8.75778	13.7782	8.04922	7.97316	2.79112	1.42386	14.0761	7.25161	16.5235	18.2683
FAM114A2	4.84614	7.27212	3.78972	5.65643	3.83755	4.76641	3.64752	9.46602	3.33488	7.44087	15.6445	4.33461	4.61045	4.54267	6.64859
FAM117A	11.7869	13.6612	6.41975	6.79568	4.40946	9.44907	5.30877	41.7438	3.11203	9.24136	10.5561	7.06634	6.74467	11.9766	7.42822
FAM117B	2.7356	3.88968	0.01726	2.20358	3.29576	2.02028	2.16498	5.48279	4.37821	3.76542	7.03758	0.353422	1.70568	3.61196	13.3424
FAM118A	12.9819	3.17687	4.82619	4.36814	10.2586	3.77619	6.50416	4.36969	4.03047	7.32304	3.18002	5.37021	2.74857	3.37713	10.9877
FAM118B	11.7444	13.2405	11.3805	10.0022	11.7011	10.8048	10.7228	12.2333	14.6073	16.3091	10.4407	10.6506	12.4521	12.3776	13.4119
FAM120A	46.9402	37.0245	39.7485	69.7878	33.8927	33.7452	36.6083	66.0433	51.004	52.9939	34.4491	41.4605	33.1111	48.0861	43.6928
FAM120AOS	0.540152	0.683529	1.60084	0.28442	0.553179	0.733536	0.497436	0.649561	1.08554	0.464572	0.768082	0.895086	0.450833	0.973933	1.21176
FAM120B	13.2743	9.993	13.111	13.2069	14.1924	14.2289	11.3638	15.0832	14.9392	6.03616	14.0582	19.2008	13.8423	19.2762	11.8442
FAM122A	11.6379	9.89683	15.5072	16.4751	16.6466	9.4438	9.523	4.49169	18.3496	11.4296	6.28486	14.9813	9.28458	10.1251	8.44633
FAM122B	0.011726	1.05086	2.13603	16.8729	0.039454	0.054991	0.096901	0.022574	3.59148	3.24432	5.09199	0.625875	8.41772	4.4173	3.11587
FAM122C	0.669333	0.672027	0.524244	0.920751	1.49684	0.497559	0.039342	1.64485	1.03113	1.07408	1.29244	0.017676	0.400369	1.31778	1.121
FAM124A	0.063319	0.021555	0.066913	0.214499	0.01781	0.014145	0.01091	0.009065	0.041199	0.364149	0.01474	0.013459	0.047437	0.061115	0.007919
FAM124B	0.12992	0.233601	0.078891	0.08098	0.129321	0.778944	0.104935	0.088462	0.005403	0.013202	0.301527	0.172164	0.114191	0.064157	0.031185
FAM126A	6.13677	9.29581	10.7393	10.3566	24.6655	4.00401	4.81649	4.49129	10.0027	1.15789	0.523592	2.82839	6.99356	1.08613	3.44015
FAM126B	7.97191	6.63791	6.13386	5.54687	6.30285	4.99602	4.09	7.36664	6.06273	5.17952	2.15994	4.75558	3.93009	4.97437	4.6375
FAM131A	0.622923	0.756688	1.60536	0.263842	0.741556	1.00728	1.06382	0.425466	0.30322	0.315768	0.68516	0.734569	0.517176	0.289505	1.43422
FAM131B	2.5131	3.95768	0.038608	0.013654	15.4771	4.4777	4.69458	3.08736	10.3017	0.036907	0.462273	15.2214	0.382483	0.072057	0.048725
FAM131C	2.19348	1.97822	0.348608	0	2.26664	0.463112	0.928999	0.447296	3.4443	0.65945	0.831124	0.156672	0.394725	1.49659	2.58943
FAM133A	0.216775	0.386235	0	0	0	0	0	11.5287	0	0.206042	0.109084	0	0	0	0
FAM135A	4.49216	3.57348	3.49064	3.85475	3.98225	2.86653	3.87845	2.847	2.98817	1.54322	4.98764	4.5681	3.86686	3.84129	5.26286
FAM135B	0.137181	0.256705	0.037172	0.322705	0.690737	1.3095	0.099629	0	0.032543	41.593	0.646403	0	0.023618	0.021677	0.330549
FAM136A	31.7673	47.372	16.9074	35.4027	50.4427	20.5255	36.1778	24.969	79.6934	64.132	47.4847	41.4279	18.6426	40.7011	26.082
FAM13A	2.95596	0.329322	3.25118	24.9936	1.79761	2.27853	5.63097	0.818068	3.27268	0.355094	0.489973	1.43073	1.31923	36.1127	9.79092
FAM13C	2.73554	2.57445	6.11431	1.61325	4.93306	1.34902	2.78276	0.282981	3.73886	0.754412	1.30154	0.932607	0.678528	1.83968	5.79844
FAM149A	1.71756	0.754852	3.00382	3.98944	4.32114	0.874913	6.06662	0.502981	8.167	0.807955	0.304341	3.43676	1.45879	3.4939	0.954239
FAM151A	0.219898	0.419016	0.308068	0.043457	0.324116	0.163424	0.18946	0.177651	0.473039	2.94617	0.092867	0.652326	0.145253	0	0.086691
FAM151B	0.775816	0.613249	0.506011	0.32622	0.466805	0	0.470305	1.06227	0.441552	0.49428	0.624257	0.762571	0	0.564017	0.73879
FAM153A	0.030685	0.019805	0.067394	0.029097	0.039866	0	0.035597	0	1.75596	0.047933	0	0.034054	0	0.765955	0.029788
FAM155A	34.5113	20.0644	19.6423	13.2837	9.24947	4.55741	15.2393	0.328026	84.6285	0	0	6.84375	2.7738	21.9012	17.2881
FAM155B	2.30218	1.56577	1.881	1.94352	1.37975	2.44193	0.958714	0.070936	4.08843	8.35821	4.4393	1.68355	2.56751	1.72157	1.79806
FAM156A	4.65631	2.48687	4.8716	2.3266	5.25845	3.57288	4.11409	2.17516	8.89083	6.79788	2.90213	4.8577	5.9708	5.15723	5.93226
FAM160A2	14.2468	11.4554	18.5918	8.52773	7.33001	8.6061	12.0504	10.3816	12.3514	8.94866	10.3687	14.2888	14.6413	8.39575	12.1962
FAM160B1	4.60624	3.23425	3.37961	4.46561	5.89655	9.02208	6.12498	6.47675	12.1938	4.37238	3.7799	7.38706	7.22244	5.5566	6.22754
FAM161B	4.39641	5.0234	2.26635	1.81745	3.07059	3.88601	6.08568	1.37669	4.17717	1.78396	3.06447	2.49574	3.39445	2.60213	4.29024
FAM162A	46.4969	27.9944	31.5167	75.9095	42.1258	41.6567	28.3748	68.0998	46.1996	53.4954	38.3513	30.7121	27.7803	39.0496	22.3982
FAM162B	1.02181	0.960641	1.66711	1.68038	0.717348	1.02829	2.69322	1.72822	0.940705	1.09447	2.01654	3.69354	1.27345	2.02831	16.2501
FAM163A	0	0.189611	0	0.571357	0.10478	0.270139	0	0	0.126244	0.45866	0	0	0	0	0
FAM163B	8.51255	33.1367	14.2308	7.89392	12.0905	6.72534	7.74202	0	31.7911	6.24186	0	6.50516	7.49739	13.1747	18.9472
FAM166A	0.723208	0.280387	0.938771	1.18398	0.345849	0.35013	0.22899	0.438168	0.306283	1.04399	0.320719	0.828382	0.441236	0.649031	2.09912
FAM167B	5.1835	4.9357	4.77831	2.11363	3.99347	4.24826	5.29036	3.10301	3.80317	1.06493	2.45347	4.631	2.91667	4.21184	12.5216
FAM168A	23.5028	43.0642	28.9101	18.3548	23.0923	24.3675	18.2643	20.8734	28.2561	29.3513	5.52258	21.1262	20.0349	16.2819	17.0629
FAM168B	66.5415	81.0496	65.4822	35.982	51.6311	40.055	63.6506	44.2466	62.556	76.4426	32.6531	59.7361	35.1734	47.4486	73.1386
FAM169A	4.19809	3.05763	1.25775	1.68473	2.11796	0.635535	5.83802	1.22487	3.9749	4.8756	2.37525	2.27245	1.26116	0.840042	0.497808
