Gene	length
RPS12	2996
C6orf62	14294
B3GAT2	100382
GMNN	11163
EYA4	290772
SOBP	171190
NR2E1	22784
SNX3	49819
SLC17A2	17938
HBS1L	94445
TRIM38	28430
PEX7	91343
ZBTB24	20722
FIG4	134211
PERP	18915
SLC16A10	143692
HECA	45723
PHACTR2	223006
EPM2A	110719
OR12D3	1869
SLC39A7	3571
CCR6	27335
UNC93A	24700
SLC22A2	42067
PHF1	5426
CUTA	1747
PACRG	588361
QKI	163875
C6orf118	29942
PDE10A	334991
MDFI	17227
TFEB	52246
SMOC2	226809
CCND3	113962
BYSL	11548
FAM120B	116369
TBP	18538
GUCA1B	11673
PRPH2	26000
PPP2R5D	27773
MRPL2	5406
PTK7	85402
SRF	10238
CUL9	42392
DUSP22	59299
EXOC2	207986
COX7A2	12624
TMEM30A	31869
GMDS	621799
SENP6	116402
IMPG1	151565
VEGFA	16279
PRPF4B	43684
TTK	37923
SLC29A1	14528
BTN2A1	18668
LAMA4	146636
CLIC5	231364
FBRSL1	95038
ENPP5	11829
LY86	66263
PRSS16	8920
MEP1A	46390
TBX18	32103
PCDHB2	4089
HARS2	7851
NUDT12	13935
CEP72	41214
MAN2A1	180260
SEMA5A	511043
C7	75147
GHR	298440
HMGCS1	25943
DAP	82005
NME5	24254
BRD8	38861
KIF20A	8612
NNT	104722
MRPS30	6568
HSPA9	21646
MRPS27	100838
PFDN1	58067
HBEGF	13761
SLC4A9	14948
LOX	15065
GZMK	10315
CDH9	157988
APBB3	6337
TMCO6	5982
SPARC	25820
IK	14652
HMGCR	24949
FAF2	61690
HAND1	3256
PCDHB3	3586
PCDHB5	3410
PCDHB6	3266
PCDHB7	3740
PDE8B	249504
CLK4	24387
PCDHB15	3971
HAVCR1	29704
GRM6	16994
ITK	74203
RNF130	116693
THG1L	10030
ARSB	208102
CLINT1	73399
THBS4	91992
CNOT6	83980
IL12B	15708
BTNL8	51830
TTC1	56446
MSH3	222164
RASGRF2	269800
GABRG2	87898
CCNG1	7446
POLR3G	40629
CDH6	135461
LMNB1	59885
ARRDC3	14687
GOLPH3	49604
SUB1	18523
NPR3	100849
FAM172A	493974
SLC27A6	68516
IRX4	9753
LNPEP	101434
PDE4D	1527249
RAD1	10245
BRIX1	10286
AGXT2	49848
PRLR	174783
SLC12A7	61680
IL4	8693
RAD50	89373
IL5	2078
ST8SIA4	96350
GNPDA1	12357
PCDH12	15478
SKP1	28016
NUP155	82970
PPP2CA	31742
FGF1	105893
NR3C1	157582
C5orf15	13116
PPWD1	24308
LIFR	120738
TRIM23	34644
C9	80356
SEC24A	79125
TXNDC15	27864
TTC33	44386
WWC1	180659
TCERG1	64629
DPYSL3	119261
SMAD5	49889
CSNK1A1	58458
HMGXB3	52390
ERGIC1	118433
PDGFRB	42007
CDX1	17781
ATP6V0E1	51675
BNIP1	19857
STC2	14781
CPEB4	73632
HRH2	52686
DBN1	17081
ZNF346	58510
UNC5A	70340
EHHADH	63426
CNTN3	258573
SMC4	35304
ACTR8	15087
TBCCD1	24477
CRBN	30085
KNG1	27052
HRG	12221
BCL6	24088
HGD	54068
CLDN16	24272
ARL6	36722
NPHP3	41801
CD86	65782
AMOTL2	20073
NIT2	26879
FAM162A	28153
OGG1	16726
KPNA1	93038
PCCB	79847
UBE3A	105297
ARMC8	111142
CEP70	99917
RBP2	23633
RBP1	22305
SLC25A36	39160
GRK7	38850
RNF7	9263
TFDP2	205117
XRN1	141428
KAT2B	113959
BCHE	64520
SERPINI2	32344
PDCD10	51595
LRRC31	30764
WNT5A	21928
PFKFB4	43446
COL7A1	31088
FGF12	588152
PRKAR2A	101289
HES1	2585
USP4	62910
ACAP2	168276
ECT2	70790
GNAT1	6087
GNAI2	32295
TFG	39678
USP9Y	159605
HYAL1	12493
TUSC2	3330
NPRL2	3446
RPL24	5628
CYB561D2	3208
C3orf14	17172
FXR1	70084
CBLB	213941
BBX	288378
IFT57	61613
GNB4	55383
HHLA2	81796
IQCG	70945
GBE1	271943
MORC1	159887
UMPS	18822
NCBP2	7192
SNX4	73553
C3orf52	31892
FRMD4B	217307
SLC41A3	95192
ROPN1B	14277
PLXNA1	48799
ATP6V1A	65022
ABTB1	7989
PODXL2	43618
UPK1B	31546
CSPG5	18003
KLHL18	63873
SCAP	62261
KIAA1257	94130
NEK11	323589
MRPL3	40760
PLSCR4	58845
HEMK1	26645
CISH	5321
MAPKAPK3	37436
ACVR2B	39253
WDR48	44649
COMMD2	14018
GORASP1	11765
PEX5L	241980
RRP9	8476
ABCC5	97951
AADAC	14373
ABHD14B	6121
EIF1B	2718
KLHL24	48897
PLCH1	265191
VIPR1	48275
DNAH1	84174
SSR3	15648
ZBTB47	13884
TNNC1	2942
NKTR	48050
CLCN2	15421
FOXP1	630912
EIF4G1	20864
SPCS1	5043
NEK4	62501
SLC4A3	14411
INO80D	92454
EEF1B2	3336
ADAM23	177596
DGUOK	32067
LMAN2L	34164
RTKN	16103
TTL	59584
IL1A	10569
CCL20	3715
PIKFYVE	92492
KCNIP3	88731
FAHD2A	13909
NCL	10954
ACTR1B	8106
SLC35F5	49934
ZAP70	26293
ACTR3	72508
STEAP3	41819
EPB41L5	166043
TFCP2L1	68616
TP53I3	7783
DNAJC27	28459
POMC	7999
STAM2	58963
OTOF	101554
GPD2	150852
CENPA	8575
CYTIP	29471
ACVR1	139885
TANC1	264025
SLC30A3	21663
MPV17	13605
GTF3C2	31186
EIF2B4	6106
NRBP1	14470
ITGB6	100648
FNDC4	3318
ITGA4	81555
PSMD14	103293
SNX17	7038
ASB3	116974
PPM1G	28393
PDE1A	382811
REEP6	6747
PCSK4	9023
GCG	9366
APC2	23096
IFIH1	51611
RPS15	2134
GCA	44346
INO80B	2858
MOGS	4326
TTC31	11806
NDUFS7	11678
PCGF1	2653
GRB14	129066
CLIP4	77040
TLX2	2699
SPTBN1	215120
AUP1	3055
RTN4	165643
HTRA2	4152
LOXL3	21685
DOK1	8532
GALNT3	46660
POLE4	11486
TACR1	153057
CCDC88A	132015
ACADL	37525
MRPL19	15424
LANCL1	45527
WDR75	34130
EFEMP1	57816
REG1A	2922
FANCL	82138
FN1	75631
STAT1	45215
GLS	84732
PAPOLG	45819
DNAH6	303092
PECR	43422
UNC50	9968
IGFBP2	31609
ELMOD3	36980
IGFBP5	23445
USP34	283625
EFHD1	76725
KCNJ13	10764
CCT4	20572
GGCX	16774
NEU2	2386
EHBP1	372610
OTX1	8097
TXNDC9	17352
COQ10B	21887
GNLY	4495
SF3B1	43120
ST3GAL5	51871
CHST10	25809
PDCL3	13747
HSPE1	3071
KDM3A	51346
PLCD4	29277
ZNF142	26295
IL1R2	36585
PRKAG3	9423
SMYD1	45560
IL1R1	109485
WNT6	14428
IL1RL2	53030
IL1RL1	40475
IL18R1	42981
IL18RAP	33776
SLC9A2	91803
FHL2	80802
MLPH	68913
UXS1	101037
ABCB6	9187
STK16	4859
SLC5A7	27471
HDLBP	88579
PPP1R7	34078
PASK	43881
STK25	15915
TPO	130211
PROC	10827
ID2	2406
TAF1B	90975
HPCAL1	124701
ODC1	8360
BIRC6	261871
NOL10	119222
PLEKHB2	45006
GORASP2	38654
STRN	128839
CEBPZ	29985
PRKD3	66583
DCAF17	50827
QPCT	28693
RAB3GAP1	118419
SLC25A12	110840
DLX2	3463
LCT	49335
SDC1	24637
PLCL1	345271
SLC1A4	35387
SOS1	138915
KYNU	178170
WIPF1	123326
COX7A2L	25659
PNO1	18409
PLEK	32172
RND3	19503
ATF2	95957
THADA	365211
AAK1	185743
TRAK2	74252
C2orf42	41135
TIA1	39350
PCYOX1	23049
KISS1R	3673
EPAS1	89291
ARID3A	49905
SUMO1	32427
CD207	5605
GRIN3B	9314
VAX2	32871
ATP6V1B1	29532
NFE2L2	34829
MSH6	23872
PLEKHA3	36007
SPR	4751
EPHA4	156176
PARD3B	1074689
FARSB	89194
ALMS1	224161
BCL9	84747
PRRX1	75291
DHCR24	37569
DNAJC16	44921
MARK1	136326
TNR	428402
MORN1	70302
GPX7	6681
CACYBP	12593
SCP2	124423
TPSG1	3618
PAPPA2	382427
RALGPS2	196696
ANGPTL1	21543
FAM20B	50771
TMEM59	26893
LRRC42	21819
NPHS2	25410
MRPL37	25323
ICMT	14772
RPL22	14576
CHD5	78535
QSOX1	49162
STXBP3	62850
PHF13	10300
ERRFI1	14583
PARK7	23795
KIAA1324	92667
OPRD1	59098
AMPD2	12243
MECR	38278
KCNC4	38811
EDEM3	64622
WDR77	9419
RAP1A	174687
HDAC1	41544
CAPZA1	51785
S100PBP	41438
RNF19B	28361
SCAMP3	6380
TRIM62	36645
ASH1L	227536
DLGAP3	64215
SFPQ	10210
RHOU	11186
GON4L	109743
ARHGEF2	32722
MEF2D	37049
DOCK7	233661
SRM	5430
FBXO2	6043
FBXO6	10155
C1orf21	241991
MAD2L2	17142
DNAJC6	151176
LEPR	216842
IVNS1ABP	20856
KIAA2013	6837
MFN2	33335
PRG4	18295
MIIP	12548
SMG7	81693
NCF2	35353
PDC	17549
SLC35D1	54799
PLA2G4A	160082
GADD45A	3134
PRAMEF1	5232
PRAMEF12	3059
WLS	134088
PRDM2	124892
RGS2	3237
RPE65	21133
AMPD1	22521
UCHL5	47823
BCAS2	14059
CTH	28634
AGMAT	13353
OLFML3	2864
TNNI3K	309042
CFHR3	19274
PLEKHM2	50450
CRYZ	27923
PHTF1	62684
ZBTB17	34264
CD58	56493
TFAP2E	22015
CD2	14800
TTF2	47128
NR5A2	149706
KIF21B	54325
TMEM9	36812
ADPRHL2	5041
MAP7D1	24690
WARS2	109457
HAO2	25346
OSCP1	32580
MRPS15	8667
EXOC8	5100
GNPAT	36762
TSNAX	37856
C1orf109	10673
RRAGC	21575
NID1	89261
LGALS8	34768
NT5C1A	12918
HPCAL4	12838
MTR	108701
BMP8B	31684
SIPA1L2	117644
ZP4	8546
RLF	79535
KMO	63267
ZNF684	16531
KCNQ4	56666
RIMS3	45003
AKT3	355050
ETV3	17205
ACADM	39333
ST6GALNAC5	200067
SLAMF1	39212
CD48	33077
PADI2	52691
SDHB	35311
MFAP2	7085
RPF1	19087
KDM5B	84286
UAP1	38404
ACTL8	71731
CTBS	24830
RGS4	8197
KLHL12	37480
IGSF21	270686
SSX2IP	46762
ZNHIT6	59017
PLA2G2D	7598
RBBP5	35837
GBP3	16190
GBP1	12890
KIF17	53994
GPR89A	62667
CDK18	28122
CD160	19789
ECE1	128255
HMGCL	23583
GALE	5156
ID3	1576
CR2	35596
CD46	43479
PRPF3	31788
APH1A	3811
SLC2A1	33494
EBNA1BP2	8397
CDC20	4223
MPL	16649
ARTN	3921
IPO13	21073
ATP6V0B	3336
B4GALT2	11970
ERI3	134210
PTCH2	23101
AKR1A1	19269
PRDX1	11856
PIK3R3	134762
TSPAN1	10876
BLZF1	28666
SLC19A2	22062
FAAH	19529
NSUN4	24976
TMED5	30672
DR1	23587
CNN3	30275
F3	12682
ABCD3	100275
VAMP4	41906
DPH5	36184
FASLG	7866
PTBP2	101956
TNFSF4	23601
PRDX6	11481
DARS2	33874
HSD11B1	48771
IRF6	20553
SERPINC1	13809
RCAN3	38697
SYF2	10227
SLC35A3	65639
RCOR3	57109
STMN1	22241
MAN1C1	168740
NEK2	17375
RPS6KA1	45265
DHDDS	39025
NENF	13460
NSL1	65625
PROX1	53538
ARID1A	86090
CENPF	61377
RPA2	23274
PPP1R8	20895
STX12	51225
SLC5A9	25923
OSBPL9	172128
TXNDC12	35061
ESYT2	98513
CD3EAP	4123
RCN2	22645
CHRNB4	17100
MUC5B	39107
CTSD	11173
COLEC11	49813
STAG1	416143
A4GNT	8678
STK11	22654
TREH	22334
IFT46	21549
MMP8	13159
APOA1	2200
SLC8A2	43877
KPTN	9070
RPS25	2627
KIF14	69252
TNNT2	18667
DDX59	29103
ATF6	197751
CRYGD	2918
MREG	91513
TNP1	607
FASTKD2	30802
NRP2	115631
CREB1	76027
KLF7	93110
TTR	7258
B4GALT6	63710
C1orf54	8649
CA14	7310
CASC1	86872
LRMP	56108
ATP10B	289092
SPCS2	29768
USP35	26314
ELOVL4	32740
FILIP1	201942
CASP8AP2	44557
HMGN3	33438
CNR1	27486
SPACA1	18998
ANKRD13C	95724
SGIP1	217547
PHF3	90198
PLAGL1	124300
FBXO30	21294
TNFAIP3	16054
AKAP7	148066
RAB32	11121
MYB	37865
ALDH8A1	32709
SGK1	148813
RNF146	21881
ARG1	11104
TCF21	6425
PMFBP1	53354
FBXL5	51029
MED28	19465
SLC16A7	193813
ZNF430	39394
VAMP8	4446
DCLRE1B	9468
MYL12B	16172
FOXO3	124950
ARMC2	126057
GHRH	5823
RPN2	62578
TGIF2	20480
CASQ2	68803
OLFM3	194668
PKD2	70143
ABCG2	141363
SPP1	7762
STBD1	5105
CCNI	28835
RARRES1	35566
MFSD1	27666
RAB3GAP2	124161
PPL	54642
UBN1	34921
KLF12	447918
UCHL3	56541
PCDH17	97568
HS1BP3	33281
WDR35	79843
CCND2	31592
FGF23	11486
ELL2	76754
DNAH7	331135
CYP20A1	67009
NDUFB3	13750
GTF3C3	36649
SATB2	201762
UBE2B	20540
TRPM6	165427
GDA	137630
KLF9	30061
TJP2	133945
ITGB1BP1	20054
CPSF3	49574
PIGZ	22478
SENP5	66859
CCDC92	37206
C1orf198	32473
TRIM67	58638
HEATR1	55512
RAD23B	48911
FKBP15	60272
CTNNAL1	70923
WDR34	23190
SET	12604
GLE1	37610
RAB14	23737
TRIM32	13999
FBXW2	36443
PHF19	39246
NEK6	94837
BSPRY	21682
PPP6C	43367
NDUFA8	27314
HDHD3	3571
RBM18	27219
SLC46A2	11957
HSDL2	92497
MAPKAP1	269841
NR4A3	45037
INVS	202991
GALNT12	42412
DENND1A	550485
ALG2	5518
CSF3R	17272
KDSR	39481
VPS4B	33287
ONECUT2	55925
C19orf25	6015
ZBTB45	29189
YLPM1	74003
DCAF4	35604
PROX2	10802
VSX2	23290
FCF1	25477
PGF	13935
IFI27L2	1824
NEK9	47696
ACYP1	16248
NPC2	13578
DNAL1	58747
ACOT2	6600
LTBP2	114055
MLH3	37769
TTLL5	293834
FLVCR2	69548
ABCD4	17666
DLST	21828
PPP4R4	105413
TGFB3	24951
RBM25	65366
ALDH6A1	27607
GPR68	21349
ESRRB	130491
EIF2B2	9446
COQ6	13369
ZNF410	45663
RHOQ	42199
GPR75	7056
SUPT7L	13032
KLHL29	323427
DNMT3A	109630
TMEM214	8730
ATAD2B	178460
FKBP1B	13941
ATL2	84628
YPEL5	13527
FAM98A	15702
YIPF4	38691
AFTPH	68701
CNRIP1	35779
BCL11A	103135
CRIPT	12962
EPCAM	17710
SLC17A5	60614
OGFRL1	20249
IDE	122412
TECTB	21639
ELOVL3	3291
IFIT3	12972
NKX2-3	3583
IFIT2	7226
GPAM	33901
CUTC	23901
PPP1R3C	4630
PYROXD2	31615
CNNM1	65232
MXI1	79761
SMNDC1	14191
C10orf88	23327
HELLS	56333
PRLHR	5652
TCTN3	30748
AVPI1	9818
WDR11	58163
KCNIP2	17947
GOT1	33755
CPN1	39677
C10orf95	1707
SFRP5	5249
GNA13	47452
HOXB8	2947
HOXB5	2485
CRHR1	51549
HOXB3	33510
HOXB1	2486
DUSP1	3100
PANK3	30874
MSX2	6315
TEK	121038
RCL1	68244
INSL6	21772
INSL4	3886
MLANA	19718
CD274	20065
IFNA6	570
IFNA8	1069
GRIA2	145492
NUP43	22215
MTHFD1L	236209
LRP11	45603
PCMT1	61727
PLEKHG1	243781
MYCT1	30240
CXorf21	18958
MAGEB4	2188
WDR55	6170
ARAP3	28829
PCDHB8	2750
PCDHB10	3295
PCDHB14	3963
PCDHB12	3853
SLC25A2	1415
TNN	80243
MRPS14	10468
CENPL	25090
TNFSF18	9744
SEC16B	55516
GORAB	21712
GPR31	960
ACAT2	17068
TCP1	11206
TTLL2	17603
SNX19	40617
KCNJ5	29808
TP53AIP1	8668
TEX11	379772
ARR3	13507
PDZD11	3333
SLC10A7	267960
NUDCD1	93169
ENY2	11608
MASTL	32602
KIAA1217	853117
LYZL1	22163
MRC1	101757
PLXDC2	473425
EPC1	111054
IQSEC3	111689
CCDC77	53296
TAF12	40218
ENOX1	573843
TNFSF11	45278
MTRF1	95670
SOHLH2	46340
DNAJC15	90628
UFM1	13769
WBP4	22498
ELF1	129463
SMAD9	75442
HSPH1	27415
KBTBD7	4736
ALG5	49603
EXOSC8	8829
ETF1	37142
TGFBI	34831
FAM53C	12173
SIL1	251645
PAIP2	27864
MYOT	19992
KDM3B	84343
EGR1	3825
SERP1	4499
PLS1	117272
ZFP30	25253
NR2C1	53390
UTP20	106514
TMPO	34807
ARL1	14701
GLT8D2	75195
SOCS2	6777
NFYB	21125
APAF1	90144
DUSP4	17621
CLU	17784
TNFRSF10B	48899
SORBS3	23862
PTK2B	147909
CHRNA2	19506
ADRA1A	117506
PPP3CC	100175
PDLIM2	17552
EPHX2	54422
RNF170	46969
NPPB	1482
UBIAD1	26375
TARDBP	12871
TNFRSF8	80905
PRAMEF2	4824
ZNF706	9027
LYPLA1	55651
CRISPLD1	50054
COPS5	19055
RDH10	30680
EPX	12449
AKAP1	36099
COIL	22852
TRIM25	26141
SCPEP1	28638
SPOP	79280
TBX2	9624
SLC35B1	7022
TBX4	32689
TEX14	135379
FAM117A	53800
NCAPH	41326
LRAT	12279
MND1	70447
TRIM6	16842
ABCC11	81767
ADCY7	51585
TSHZ3	74492
ECHDC2	25865
TAS2R8	930
PLBD1	64223
TAS2R10	924
PRB2	4028
PYROXD1	33596
IAPP	25021
KCNJ8	9752
TAS2R7	1096
BCL2L14	49835
TAS2R9	1075
PSPC1	108194
ZNF549	13552
A1BG	8310
ZSCAN18	34585
ZNF211	10880
PDZRN3	242511
RGSL1	110452
LHX4	48721
RNF2	57046
SEC22A	72194
CSTA	16722
DPPA4	11432
POPDC2	18539
B4GALT4	29137
NAA50	29792
CD80	35322
KIF18A	87538
GJA8	6476
MAPK8IP1	20815
CRY2	36131
PEX16	8455
DEPDC7	17705
CAT	33127
PILRB	9829
ZMYM2	134439
GJB6	10434
GJA3	22798
TBC1D15	87493
HCRTR1	9619
ZCCHC17	67972
FABP3	8036
KHDRBS1	30010
TMEM39B	30836
CCRL2	2265
CCR2	7179
POLR3GL	14173
GHSR	5166
TNFSF10	17923
ZNF639	15553
SLITRK3	10390
PIK3CA	91737
PDS5A	155049
TMEM156	65665
LIAS	20451
CPXM2	146169
TMEM54	6795
ZSCAN20	23862
CSMD2	651845
HPCA	8156
CLCC1	33992
GPSM2	57561
GTDC1	387056
CXCR4	3801
ZRANB3	334250
ACVR2A	86311
POLK	94071
SV2C	270557
FLT3	97303
RPL21	5014
MTIF3	14964
GTF3A	11205
RASL11A	4363
UBL3	86247
FYTTD1	37714
XPNPEP2	30558
SASH3	15253
OCRL	52298
PAEP	5200
OBP2A	3844
MRPS2	4709
TBX22	17022
FMOD	10495
MYOG	2884
LAX1	11190
PLG	51862
KIAA1191	15747
COPA	54657
CD244	32728
LY9	32082
HS3ST2	102177
RBBP6	33298
ZC3H7A	46662
PRM2	842
SERAC1	58744
ANXA11	54920
LDB3	69285
OPN4	11914
ZNF205	7939
RPL5	9885
ODF2L	49519
PTGFR	49728
LRRC39	29826
RWDD3	13071
ZNF644	106958
CCDC18	98015
RPAP2	102998
NBPF14	64333
BBS9	506228
PMS2	38182
ZMIZ2	21316
OCM	5566
EEPD1	148285
KLHL7	72130
HERPUD2	62477
CBX3	12165
HNRNPA2B1	10820
WIPF3	110513
NXPH1	319353
NPY	7673
FAM126A	79920
HOXA7	2960
INHBA	17977
FKBP9	49528
ARL4A	4108
POLM	10479
RAMP3	26460
TWIST1	2169
SMU1	34910
GLIPR2	27378
CLTA	21207
RECK	87543
SPINK4	8401
TAF1L	6216
ACO1	70127
DNAI1	62238
DCAF10	67116
CNTFR	38709
KIAA1549	150010
TRIM24	129738
CALD1	191096
AKR1D1	41847
NUDT10	5295
SFTPA1	4517
NEUROG3	1725
PLAU	6401
SRGN	17203
CHST3	49164
BICC1	318564
CISD1	20425
EGR2	7172
ECD	34341
P4HA1	89758
SLC25A16	49526
ZWINT	4033
VPS26A	50264
RBM19	149586
CIT	191529
IFT81	94437
ACADS	14183
HVCN1	41092
DDX54	28306
MED13L	318611
CDKN2C	5940
RNF11	37175
RASSF8	121208
BHLHE41	5008
SSPN	39442
ITPR2	497843
CCDC91	359711
NECAB1	167619
WWP1	125957
ACOT9	42222
PRDX4	18905
PKN1	38554
WDR83	9026
GIPC1	18391
ACTRT1	1442
CCDC70	4264
EBPL	30813
ATP7B	78826
ZC3H13	98282
NLN	107080
CENPK	46877
OPTN	38195
ITIH5	107698
ATF1	57062
TSFM	20112
NEUROD4	10044
ARHGAP9	16556
NCKAP1L	50492
MMP19	7504
PFDN5	4000
SPATS2	160522
ORMDL2	3839
NR4A1	36676
PDE1B	29847
HOXC13	7714
CDK2	5960
LRP1	84879
HOXC11	4518
NFE2	8931
HOXC12	4054
IKZF4	30932
SMUG1	8637
TUBA1B	3614
KBTBD4	6819
SARDH	76396
DBH	22967
ATPAF1	33389
STIL	64009
HJURP	17866
IL13RA2	13635
COL10A1	7224
AMD1	81093
NDUFAF4	8577
USP45	83118
PLP1	16115
SERPINA7	6293
MORF4L2	12661
RAB9B	9931
NRK	136071
FAM199X	29450
ESX1	4896
MAGEA9B	5808
ATXN3L	1753
RAB9A	21377
METTL8	119058
TTC21B	80415
NMI	19199
TNFAIP6	22455
ACVR1C	102098
BAZ2B	297623
SLC36A1	44777
LPGAT1	87307
BATF3	13424
G0S2	979
KCNJ2	10513
RAP2C	16457
EXOSC9	15699
PLA2G12A	20082
B9D2	9733
PFKFB2	27753
C4BPA	40740
C4BPB	11134
RAB38	62193
GPR83	24104
MXD4	14678
CKS2	5509
ACSL3	83604
CHPF	4856
DNPEP	27965
INHA	3402
MOGAT1	38273
OBSL1	20812
FAM124B	23410
SLC12A4	25221
MC3R	1084
CTCFL	29163
PI3	1643
SNX21	9478
SLPI	2326
WFDC3	17671
TTPAL	18731
PREX1	203747
KCNS1	9914
SLC12A5	38465
SDC4	23137
NCOA3	154986
PIGT	10101
SEMG2	3086
MATN4	15084
NCOA5	28972
VAPB	61873
PARD6B	22162
CHD6	216294
PLCG1	40084
TOX2	154765
GDAP1L1	33819
GTSF1L	839
ARFGEF2	114983
ZNFX1	32158
ZNF831	68094
EDN3	25382
CSE1L	50715
TMEM189-UBE2V1	72675
RAB22A	57793
PTGIS	64264
STAU1	105957
CDH26	56107
SNAI1	5907
MOCS3	5112
STX16	28244
PMEPA1	63145
RNF114	17489
DDX27	24783
RBPJL	10985
SEMG1	2736
C20orf85	10249
BCAS4	82284
KCNK15	6449
TP53TG5	5769
PCK1	7012
ZBP1	16575
MAGEA10	5269
MTRR	31966
FASTKD3	9873
PEPD	134842
CHST8	151553
IQSEC2	88491
VAMP7	62426
IL9R	13122
XG	64449
STAMBP	38258
NAGK	11513
MCEE	20543
PAIP2B	44366
SNRNP27	11281
MPHOSPH10	19468
IL17C	1897
ATP8A1	248733
USP22	43416
POF1B	102269
HIF3A	46392
ZNF576	4563
IRGC	3946
ZNF45	22659
LYPD3	4822
PSG8	12993
CEACAM8	14682
NDP	24615
USP9X	151135
CRISP2	21233
F13A1	176579
GRM4	136980
TRERF1	227294
PACSIN1	69148
BTN2A2	11767
SIRT5	40630
MRS2	23287
WRNIP1	21560
BTN1A1	10123
SNRPC	16353
SLC17A3	29388
SLC17A1	49138
SERPINB6	24007
XPO5	53704
ABCC10	22887
PEX6	15317
NQO2	20061
UNC5CL	12327
AARS2	14617
ZNF391	29273
RPS10	8616
MOCS1	30256
MED20	15786
OR2B6	942
TBCC	1606
SPDEF	18532
TCP11	23340
MAD2L1BP	11411
APOBEC2	11691
KLHDC3	7046
GNMT	3127
DNAH8	315482
TREM1	13078
MEA1	4874
KLHL31	17841
COL21A1	337539
CDKN1A	11083
SOX4	4869
GLO1	27221
CPNE5	98669
KCNK17	15419
RREB1	144238
SSR1	32057
RIOK1	28230
NRN1	9607
SLC35B3	24111
RPP40	9321
ATXN1	462379
NUP153	91889
DEK	40671
EEF1E1	29189
CRISP1	42840
RUNX2	222766
OPN5	44343
GCM2	8819
LRRFIP1	154057
RAB17	16409
CXCL6	2083
EREG	23605
SCGB1D2	2574
SCGB2A1	5271
AHNAK	113263
WNT1	4299
SH3TC1	41814
CNOT1	109876
LRRC29	19860
BBS2	35680
MT1G	1336
MT2A	914
C16orf70	38604
GOT2	27186
DOK4	14572
PIWIL1	34751
GPR18	3716
CLYBL	286101
TMTC4	71171
RAP2A	34960
SLC10A2	22420
ABCC4	281618
EFNB2	45918
SOX21	2924
TM9SF2	62577
KIF25	27217
IRF1	9165
UPF3B	19003
RNF113A	1259
NDUFA1	4831
AMELX	7349
BMP4	7156
PTGER2	14287
FAM193A	197201
GRK4	77190
SOX9	5397
TEKT3	37786
MYH2	28511
HS3ST3B1	48324
SLC25A35	7638
MRPS7	4498
GGA3	25751
ARMC7	20304
NUP85	30324
SLC25A19	16470
MIF4GD	5065
NT5C	1571
MSTO1	4798
C1orf61	25297
TTF1	31304
GTF3C4	24490
DDX31	77405
BARHL1	7647
KIR2DL1	14530
PPP1R12C	26720
MBOAT7	16628
SRMS	7581
OPRL1	20552
SLC2A4RG	4275
NPBWR2	1002
BHLHE23	1038
PPDPF	1442
IL1B	7029
PLGLB2	11390
CHCHD5	4594
PAX8	62925
INSIG2	22527
POLR1B	37783
CCDC93	98590
PSD4	35421
SLC25A23	19729
PSPN	769
GTF2F1	13593
ALKBH7	2457
CLPP	8712
TNFSF9	4899
GRIA3	306671
THOC2	132483
MED1	46979
RPL23	5862
ATG4C	81385
CD70	9503
C3	42947
SH2D3A	15276
TRIP10	11851
GPR108	7709
TNFSF14	9336
FOSB	7184
OPA3	57376
SNRPD2	4863
RTN2	11754
EML2	36230
VASP	19505
SYMPK	47738
GPCPD1	66568
SDCBP2	19231
PANK2	41107
TGM3	45079
GNRH2	2126
DEFB126	3162
FOXA2	4493
CD93	6965
GZF1	10881
PAX1	12828
NAPB	47001
CST8	4894
NKX2-4	2162
CENPB	2890
PSMF1	59019
NKX2-2	3048
DTD1	178591
CSTL1	5246
RBCK1	24090
TMX4	42416
CST11	2465
STK35	46729
SNRPB	9148
NRSN2	7752
RRBP1	68606
BMP2	12561
ZNF133	28769
FLRT3	14628
OVOL2	35037
PCSK2	258472
GFRA4	4108
MKKS	29460
BFSP1	75316
DSTN	39845
SNRPB2	12539
LRRN4	13515
TBC1D20	27054
ITPA	17952
TCF15	6274
OTOR	3812
MCM8	48326
BANF2	42198
FAM110A	12563
SIRPD	23455
MRPS26	2199
DEFB129	2629
S1PR4	1564
NCLN	23646
CITED1	5512
HNRNPR	39597
ZNF436	10389
MAX	96444
ARMCX5	4954
GDF5	21427
MMP24	50309
NECAB3	17342
ID1	1222
RALY	90974
DYNLRB1	24574
C20orf173	2675
EIF2S2	23935
ERGIC3	15579
ROMO1	1576
FAM83C	6695
CEP250	63690
PLAGL2	15240
GRPR	29954
KDM5C	48931
AMOT	66329
TMEM115	4772
PSMB2	41986
UROD	3322
ST3GAL3	223670
TMEM53	21362
HECTD3	8777
KLC1	72364
XRCC3	17835
TUBGCP3	103143
MCF2L	130529
F10	26731
PCID2	31134
PROZ	13739
SLURP1	1458
LRFN3	10251
CAPNS1	10288
PDCD2L	21771
RBM42	8671
KIRREL2	10226
UBA2	42871
FFAR2	3511
HCST	1849
FFAR1	923
COX6B1	10460
KRT36	3729
THRA	31675
CCR7	11704
NR1D1	7797
FRMD8	26889
PRDX5	3691
BCL2L12	8775
IRF3	6307
PRMT1	11299
RRAS	4852
PRRG2	9689
SCAF1	16434
PRR12	35258
TSKS	23547
FLRT1	15284
